Core.Based.Statistical.Area.CBSA.,State,Population.2010,log.pop.2010,O3.8.hr.ppm.,PM2.5.Wtd.AM._g.m3.,PM2.5.24.hr._g.m3.,SO2.1.hr.ppb.,CO.8.hr.ppm.,Pb.3.mo.microg.m3.,NO2.AM.ppb.,NO2.1.hr.ppb.,PM10.24.hr.microg.m3.,Per.capita.personal.income.Dollars.2014,Per.capita.personal.income.Dollars.2015,Per.capita.personal.income.Percent.growth,Real.per.capita.personal.income.2014.Chained.2009.dollars,Real.per.capita.personal.income.2015.Chained.2009.dollars,Real.per.capita.personal.income.Percent.growth.x,Total.Adjusted.Sales.of.Distillate.Fuel.Oil,Population.State,Total.Adjusted.Sales.of.Distillate.Fuel.Oil.per.Capita,Electricty.sale.2015,Electricty.sale.2015.per.Capita,Average.temperature,Average.annual.precipitation...rainfall,X2015.GDP,X2015.GDP.per.Capita
"Sioux Falls, SD",South Dakota,228261,5.358431716,0.066,6.5,15,4,1,NA,4,35,54,50221,53769,7.1,49899,53360,6.9,"338,730","857,919",0.394827484,12102,0.014106227,45.6,26.35,18727,82042.04836
"South Bend-Mishawaka, IN-MI",Michigan,319224,5.504095535,0.077,8.3,20,NA,NA,NA,9,34,NA,40342,42362,5,41299,43517,5.4,"1,266,949","9,917,715",0.127746058,102480,0.010333025,49.8,38,13966,43749.84337
"South Bend-Mishawaka, IN-MI",Michigan,319224,5.504095535,0.077,8.3,20,NA,NA,NA,9,34,NA,40342,42362,5,41299,43517,5.4,"1,266,949","9,917,715",0.127746058,102480,0.010333025,49.8,38,13966,43749.84337
"South Bend-Mishawaka, IN-MI",Indiana,319224,5.504095535,0.077,8.3,20,NA,NA,NA,9,34,NA,40342,42362,5,41299,43517,5.4,"1,810,264","6,612,768",0.273752837,104515,0.015805031,49.8,38,13966,43749.84337
"South Bend-Mishawaka, IN-MI",Indiana,319224,5.504095535,0.077,8.3,20,NA,NA,NA,9,34,NA,40342,42362,5,41299,43517,5.4,"1,810,264","6,612,768",0.273752837,104515,0.015805031,49.8,38,13966,43749.84337
"Spartanburg, SC",South Carolina,313268,5.495916034,0.069,8.5,17,NA,NA,NA,NA,NA,NA,36387,37954,4.3,38266,39842,4.1,"878,915","4,894,834",0.179559715,81328,0.016615068,60.75,48.45,14176,45251.98871
"Spokane-Spokane Valley, WA",Washington,527753,5.722430711,0.056,NA,NA,NA,2,NA,NA,NA,93,38669,39748,2.8,37108,38134,2.8,"1,086,935","7,160,290",0.151800416,90116,0.012585524,48.05,16.52,23006,43592.36234
"Springfield, IL",Illinois,210170,5.322570724,0.068,7.7,19,NA,NA,NA,NA,NA,NA,42552,43590,2.4,42616,43850,2.9,"2,313,149","12,839,047",0.180165163,138620,0.010796752,52.95,37.44,9940,47295.04687
"Springfield, MA",Massachusetts,621570,5.793490045,0.076,6.2,17,3,2,NA,11,38,33,44124,46354,5.1,41854,43706,4.4,"1,250,536","6,784,240",0.184329564,54621,0.00805116,N/A,N/A,25337,40762.90683
"Springfield, MO",Missouri,436712,5.640195126,0.059,7.1,15,4,NA,NA,NA,NA,47,35389,36824,4.1,36873,38272,3.8,"1,361,318","6,076,204",0.224040865,81504,0.013413638,56.15,45.54,18404,42142.18982
"Springfield, OH",Ohio,138333,5.140925795,0.071,8.4,17,6,NA,NA,NA,NA,NA,35819,37183,3.8,37444,38841,3.7,"2,228,586","11,605,090",0.192035219,149213,0.012857548,50.85,38.52,4211,30441.03721
"St. Cloud, MN",Minnesota,189093,5.276675452,0.058,5.6,16,NA,NA,NA,NA,NA,NA,40352,41429,2.7,39844,41109,3.2,"1,096,553","5,482,435",0.200012038,66579,0.012144056,N/A,N/A,9399,49705.70037
"St. George, UT",Utah,138115,5.140240848,0.064,4.9,13,NA,NA,NA,NA,NA,38,29966,31368,4.7,29237,30662,4.9,"614,847","2,990,632",0.205590992,30192,0.010095525,N/A,N/A,4658,33725.51859
"St. Joseph, MO-KS",Kansas,127329,5.104927328,0.062,8.1,17,NA,NA,NA,NA,NA,75,34942,35589,1.9,36360,37011,1.8,"960,794","2,906,721",0.330542216,39849,0.013709262,N/A,N/A,5716,44891.58008
"St. Joseph, MO-KS",Kansas,127329,5.104927328,0.062,8.1,17,NA,NA,NA,NA,NA,75,34942,35589,1.9,36360,37011,1.8,"960,794","2,906,721",0.330542216,39849,0.013709262,N/A,N/A,5716,44891.58008
"St. Joseph, MO-KS",Missouri,127329,5.104927328,0.062,8.1,17,NA,NA,NA,NA,NA,75,34942,35589,1.9,36360,37011,1.8,"1,361,318","6,076,204",0.224040865,81504,0.013413638,N/A,N/A,5716,44891.58008
"St. Joseph, MO-KS",Missouri,127329,5.104927328,0.062,8.1,17,NA,NA,NA,NA,NA,75,34942,35589,1.9,36360,37011,1.8,"1,361,318","6,076,204",0.224040865,81504,0.013413638,N/A,N/A,5716,44891.58008
"St. Louis, MO-IL",Missouri,2787701,6.445246191,0.076,10,21,27,2,0.14,12,45,82,47317,48977,3.5,48067,49598,3.2,"1,361,318","6,076,204",0.224040865,81504,0.013413638,N/A,N/A,155077,55628.99321
"St. Louis, MO-IL",Missouri,2787701,6.445246191,0.076,10,21,27,2,0.14,12,45,82,47317,48977,3.5,48067,49598,3.2,"1,361,318","6,076,204",0.224040865,81504,0.013413638,N/A,N/A,155077,55628.99321
"St. Louis, MO-IL",Illinois,2787701,6.445246191,0.076,10,21,27,2,0.14,12,45,82,47317,48977,3.5,48067,49598,3.2,"2,313,149","12,839,047",0.180165163,138620,0.010796752,N/A,N/A,155077,55628.99321
"St. Louis, MO-IL",Illinois,2787701,6.445246191,0.076,10,21,27,2,0.14,12,45,82,47317,48977,3.5,48067,49598,3.2,"2,313,149","12,839,047",0.180165163,138620,0.010796752,N/A,N/A,155077,55628.99321
"State College, PA",Pennsylvania,153990,5.187492519,0.065,NA,NA,7,NA,NA,5,31,NA,40473,41344,2.2,36249,37158,2.5,"2,723,811","12,791,904",0.212932414,146344,0.011440361,50.2,39.6,8160,52990.45393
"Stockton-Lodi, CA",California,685306,5.835884534,0.08,11.8,32,NA,1,NA,12,45,66,36483,38769,6.3,33358,35421,6.2,"4,097,124","38,993,940",0.105070788,261170,0.006697707,62,17.85,24606,35905.12851
"Syracuse, NY",New York,662577,5.821236356,0.067,5,12,3,NA,NA,NA,NA,NA,42443,44299,4.4,40822,42389,3.8,"2,621,582","19,747,183",0.132757265,148914,0.007541025,48.95,41.54,31728,47885.75517
"Tallahassee, FL",Florida,367413,5.565154519,0.061,NA,NA,NA,1,NA,NA,NA,NA,36526,37728,3.3,35698,37113,4,"2,205,777","20,244,914",0.108954624,235599,0.011637441,67.6,59.21,14747,40137.39307
"Tampa-St. Petersburg-Clearwater, FL",Florida,2783243,6.444551125,0.07,7.7,17,69,1,0.09,10,31,42,41338,43008,4,37690,39169,3.9,"2,205,777","20,244,914",0.108954624,235599,0.011637441,73.35,46.31,133838,48087.06965
"Terre Haute, IN",Indiana,172425,5.236600235,0.069,8.7,21,120,NA,NA,NA,NA,29,33776,34396,1.8,35563,35926,1,"1,810,264","6,612,768",0.273752837,104515,0.015805031,54.25,43.82,6687,38782.07916
"Texarkana, TX-AR",Arkansas,149198,5.173763001,NA,8.5,17,NA,NA,NA,NA,NA,NA,33637,35026,4.1,35476,37109,4.6,"828,862","2,977,853",0.278342148,46465,0.015603524,63.9,51.98,5181,34725.66656
"Texarkana, TX-AR",Arkansas,149198,5.173763001,NA,8.5,17,NA,NA,NA,NA,NA,NA,33637,35026,4.1,35476,37109,4.6,"828,862","2,977,853",0.278342148,46465,0.015603524,63.9,51.98,5181,34725.66656
"Texarkana, TX-AR",Texas,149198,5.173763001,NA,8.5,17,NA,NA,NA,NA,NA,NA,33637,35026,4.1,35476,37109,4.6,"7,315,567","27,429,639",0.266703,392337,0.014303396,63.9,51.98,5181,34725.66656
"Texarkana, TX-AR",Texas,149198,5.173763001,NA,8.5,17,NA,NA,NA,NA,NA,NA,33637,35026,4.1,35476,37109,4.6,"7,315,567","27,429,639",0.266703,392337,0.014303396,63.9,51.98,5181,34725.66656
"Toledo, OH",Ohio,610001,5.785330547,0.07,8.6,20,21,NA,0.12,NA,NA,NA,40418,42087,4.1,41685,43300,3.9,"2,228,586","11,605,090",0.192035219,149213,0.012857548,53.4,33.55,34019,55768.76103
